title,company,location,salary,rating
"Data Scientist I, II",First Financial Federal Credit Union of Maryland,"Sparks Glencoe, MD",$108K - $160K (Employer provided),4.3
Risk Data Scientist,"Growers Edge Financial, Inc.",Remote,$100K - $120K (Employer provided),4.6
Data Scientist,Meta,"Burlingame, CA",$178K - $197K (Employer provided),3.9
Data Scientist Engineer (US),Fetcherr,"Miami, FL",$85K - $135K (Glassdoor est.),4.8
Data Scientist for Partnership with Startup,Alloyed Enterprises Corp.,United States,$64K - $1M (Employer provided),
Data Scientist,Gannett,Remote,$57.00 - $60.00 Per Hour (Employer provided),3.1
ERM Data Engineer / Scientist,"BankUnited, N. A.","Miami Lakes, FL",$88K - $124K (Glassdoor est.),3.7
Associate Data Scientist,i2c inc.,"Redwood City, CA",$90K - $141K (Glassdoor est.),3.5
DATA SCIENTIST,GenuineXs LLC,Remote,$80.00 - $90.00 Per Hour (Employer provided),
Data Scientist-Toxicity Data Curation,Cognizance Technologies,"College Park, MD",$110K - $135K (Employer provided),
Data Scientist,United Way,"Alexandria, VA",$94K - $103K (Employer provided),3.5
Data Scientist - Remote,Optum,"Eden Prairie, MN",$90K - $161K (Employer provided),3.5
Data Scientist-Hybrid,Logix Federal Credit Union,"Valencia, CA",$99K - $153K (Employer provided),3.5
Data Scientist,AG1,Remote,$150K - $180K (Employer provided),4.1
Data Scientist,Scalepex,"Mexico, MO",$72K - $126K (Glassdoor est.),3.0
Data Scientist,Advent Services,"Dayton, OH",$69K - $113K (Glassdoor est.),3.5
"Associate Scientist, Data II",AbbVie,"North Chicago, IL",$68K - $93K (Glassdoor est.),4.0
Data Scientist,CRED Platform,United States,,
"Data Scientist, Entry-Level",Savannah River National Laboratory,"Aiken, SC",$81K - $137K (Glassdoor est.),3.6
Data Scientist,"Government Consulting Solutions, LLC","Dayton, OH",$78K - $127K (Glassdoor est.),5.0
Data Scientist,Northstar Travel Media LLC,"Rutherford, NJ",$125K - $160K (Employer provided),4.0
Associate Data Scientist,NextEra Energy,"Juno Beach, FL",$76K - $101K (Glassdoor est.),3.8
Data Scientist,OOCL USA Inc,"San Jose, CA",$110K - $132K (Employer provided),3.6
Data Scientist,Softmat Services,"South Portland, ME",$95K - $158K (Employer provided),
Data Scientist,Alston & Bird,"Atlanta, GA",$82K - $123K (Glassdoor est.),4.2
Data Scientist - REMOTE,JSR Tech Consulting,United States,,5.0
Data Scientist I,East Bay Municipal Utility District (EBMUD),"Oakland, CA",$103K - $147K (Glassdoor est.),3.7
Data Scientist,Forman Technology Group,"Plano, TX",$87K - $117K (Employer provided),
Data Scientist (Forecasting),Agero,Remote,$98K - $155K (Employer provided),3.2
Data Scientist,JY Systems LLC,"Fort Meade, MD",$170K - $190K (Employer provided),
"ASSOCIATE SCIENTIST, DATA II",AbbVie,"North Chicago, IL",$68K - $93K (Glassdoor est.),4.0
Data Scientist III,LexisNexis,"Raleigh, NC",$109K - $146K (Glassdoor est.),3.9
Associate Product Data Scientist,NextEra Energy,"Juno Beach, FL",$76K - $101K (Glassdoor est.),3.8
Senior Data Scientist,Blue Cross Blue Shield of Minnesota,"Eagan, MN",$89K - $146K (Employer provided),3.9
Data Scientist 1,paypal,"San Jose, CA",$180K - $260K (Employer provided),3.7
Data Scientist II,Freeport-McMoRan,"Phoenix, AZ",$123K - $172K (Employer provided),4.1
Data Scientist,The University of Chicago,"Chicago, IL",$70K - $100K (Employer provided),4.1
Data Scientist,"Lutron Electronics Co., Inc","Austin, TX",$97K - $142K (Glassdoor est.),3.8
Data Scientist I,Knowesis,"Pope AFB, NC",$87K - $121K (Glassdoor est.),4.6
Data Scientist,Magnite,"Los Angeles, CA",$110K - $125K (Employer provided),3.9
"Data Scientist, Marketing",OpenAI,"San Francisco, CA",$255K - $405K (Employer provided),4.5
Data Scientist,Home Depot / THD,"Atlanta, GA",$101K - $138K (Glassdoor est.),3.8
Data Scientist,Amaris Consulting,"Kobe, CO",$98K - $160K (Glassdoor est.),3.5
Data Scientist III,RELX,"Raleigh, NC",$109K - $144K (Glassdoor est.),4.0
Senior Data Scientist,Intuit,"San Diego, CA",$159K - $215K (Employer provided),4.4
Data Scientist,enGen,"Pittsburgh, PA",$81K - $124K (Glassdoor est.),2.9
"Data Scientist II, Analytics",Expedia Group,"Seattle, WA",$112K - $179K (Employer provided),3.9
Data Scientist - Multimedia,TikTok,"San Jose, CA",$144K - $329K (Employer provided),3.2
Data Scientist,Homethrive,Remote,,2.8
Data Scientist,Ford Motor Company,"Palo Alto, CA",,4.0
Data Scientist,Valley National Bank,"Morristown, NJ",$83K - $144K (Employer provided),3.2
Senior Data Scientist,Intuit,"Mountain View, CA",$159K - $215K (Employer provided),4.4
Data Scientist,HOPPR,United States,,
Data Scientist,Bixal,"Fairfax, VA",$95K - $105K (Employer provided),3.8
Data Scientist,Millennium Management,"New York, NY",$150K (Employer provided),3.5
Data Scientist IV,Kaiser Permanente,"Pleasanton, CA",$166K - $215K (Employer provided),3.8
Data Analytics Scientist,"CF Industries Holdings, Inc.","Northbrook, IL",$73K - $96K (Employer provided),3.5
Data Scientist,Quantoknack,"Ashburn, VA",$105K - $154K (Glassdoor est.),5.0
AI/ML Engineer,Rediantt LLC,Remote,$125K - $197K (Employer provided),
"Senior Data Scientist, Operations Modeling",Flock Safety,Remote,$175K - $200K (Employer provided),3.9
Data Scientist,Plymouth Rock Assurance Corporation,"Woodbridge, NJ",$109K - $140K (Employer provided),3.5
